Response,empathy_score,fluency_score,sentiment_score,empathy_score_NEW
"Congratulations, you are now getting closer to igniting your creative domain. Now let's project your feelings onto your childhood self who engages in different types of activity.",1.0,0.09,0.9,0.0
"Congrats, you're on fire and your creative domain will soon emerge. Now, try to project your feelings onto your younger self who does different domains of activity.",1.0,0.06,0.76,0.0
"Well done! You're nearly there, your creative domain is almost ignited. Please project your feelings onto your childhood self who pursues different domains of activity.",1.0,0.03,0.85,0.0
Congrats! You're getting close to firing up that creative domain of yours. Now project your feelings onto your childhood self who is pursuing different areas of activity.,1.0,0.05,0.78,0.0
Well done! You are almost at the pinnacle of finding your creative domain. May you channel your feelings onto your childhood self who is pursuing different domains of activity.,1.0,0.05,0.79,0.0
I thought you are now closer to finding your creative domain. Please focus on your childhood feelings and how your childhood self pursued different domains of activity.,1.0,0.04,0.78,1.0
"Well done! Now you are closer to igniting your creative domain. Now, try focus to on your childhood feelings and the way your childhood self pursued different domains of activity.",1.0,0.03,0.79,1.0
"Good job, you are making great progress in finding your creative domain. You should think about your childhood self doing different domains of activity.",0.0,0.07,0.96,0.0
Also good you are making great progress in finding your creative domain! Think about the feeling when your childhood self doing different domains of activity.,0.0,0.03,0.96,1.0
"Bravo, now you are on the closest level to finding your creative domain. Keep focusing your feeling on your childhood self who is in pursuit of varied domains of activity.",1.0,0.03,0.71,0.0
"Bravo, now you are on the closest level to finding your creative domain. Now, focus your feeling on your childhood self who carries out a variety of domains of activity.",1.0,0.05,0.71,0.0
"This has brought you closer to discovering your creative domain, now you could think about your childhood self, who is currently playing different domains of activity.",0.0,0.05,0.74,0.0
"Well done, you are closer to finding your creative domain! Now contemplate your feeling about your childhood self who is currently playing a different sphere of activity.",1.0,0.04,0.86,0.0
"Well done! We are getting closer to discovering your creative domain, please project your feeling onto your childhood self who's enjoying different domains of activity.",1.0,0.03,0.94,0.0
Congratulations on your progress. We are getting closer to igniting your creative domain. Let's think about your childhood self enjoying different domains of activity.,1.0,0.07,0.96,1.0
"Congrats, we are so much closer to unleashing your creative domain! Now, let's dive deep into your childhood self and focus on your feelings and the different creative domains that might interest you to pursue.",1.0,0.14,0.95,0.0
"Well done, now you are more than ready to ignite your creative domain! Now, let's project your feelings onto your childhood self who is engaging in different types of activity.",1.0,0.09,0.92,0.0
"Congratulations, you are now getting closer to igniting your creative domain. Let your feelings now project onto your childhood self who pursues various types of activity.",1.0,0.05,0.87,0.0
"Congratulations, you're on fire and your creative domain will be out of the water. Now try to project your feelings onto your younger self who's doing different domains of activity.",1.0,0.09,0.8,0.0
"Congratulations, you're on fire, and your creative domain will soon develop. Now, project your feelings on your younger self who does different domains of activity.",0.0,0.05,0.8,0.0
"Well done, you're nearly there! Your creative domain is almost ignited. Now, try to project your feelings on your childhood self who engages in different fields of activity.",0.0,0.06,0.85,1.0
"Congrats! You're fast approaching that creative domain of yours. Now, project your feelings towards your childhood self who are engaged in different areas of activity.",1.0,0.05,0.92,0.0
Congratulations! You are almost at the pinnacle of finding your creative domain. May you channel your feelings onto your childhood self who is in different domains of activity.,1.0,0.05,0.88,0.0
"Congratulations, you are now getting closer to igniting the creative domain. Please project your feelings onto your childhood self who pursues different domains of activity.",1.0,0.05,0.91,0.0
,,,,0.0
"When you think about athe feelings of your childhood, can you think about a creative domain you want to pursue? (user answer yes or no)",,,,0.0
"When imagining your childhood feelings, can you recall a creative domain you wish to pursue? ",0.0,0.04,0.81,0.0
"When projecting onto your youth-self feeling, can you think of a creative field you can enjoy?",0.0,0.04,0.86,0.0
Can you dream of a creative task you wish to take up when thinking about the childhood-self feeling?,1.0,0.04,0.88,0.0
"Thinking back to your childhood feeling, can you recall a creative activity you enjoyed that you might like to try again?",1.0,0.15,0.92,0.0
"When you think back to yourself as a child, can you think about a creative domain you did then that you would like to continue or go back to now?",1.0,0.2,0.8,0.0
"When thinking about your feelings about your childhood, is there a creative domain you'd like to pursue?",1.0,0.18,0.8,0.0
"While you think about the feelings of your childhood, could you also think about a creative domain that interests you?",1.0,0.12,0.76,0.0
"When you imagine yourself as the younger you, is there any creative domain that you did that got you excited?",1.0,0.07,0.79,0.0
Are there any creative domains you can think of when you think back on the feelings of your childhood?,0.0,0.15,0.66,0.0
"Thinking back to your childhood, can you think of an area of creativity that you wanted to pursue?",1.0,0.34,0.62,0.0
Can you elaborate on a creative domain while considering your childhood feelings?,0.0,0.01,0.66,0.0
"Can you remember a creative domain, in imagining your childhood feelings, you wish to pursue?",0.0,0.01,0.81,0.0
"Imagining your childhood emotions, can you recall a creative domain you wish to pursue?",0.0,0.05,0.81,0.0
"When you picture your childhood feelings, can you recall a creative domain you wish to pursue?",1.0,0.04,0.81,0.0
"In projecting on your childhood self-feeling, can you think of a creative field you can enjoy?",0.0,0.07,0.84,0.0
Can you think of a creative field that you can enjoy when projecting onto your youth-self feeling?,1.0,0.04,0.86,0.0
Can you think of a creative field which you can enjoy when incorporating your childhood-self feeling?,1.0,0.03,0.86,0.0
Can you dream about a creative task you wish to take up when pondering the childhood-self feeling?,1.0,0.04,0.88,0.0
Can you think of a creative task you wish to take up when thinking about childhood-self-impression?,1.0,0.09,0.81,0.0
Can you dream of a creative task that you wish to take up when thinking about your childhood self?,0.0,0.11,0.86,0.0
"Thinking back to your childhood feeling, can you remember a creative activity you enjoyed that you might like to try again?",1.0,0.16,0.92,0.0
"Thinking back to your childhood feelings, can you recall a creative activity that you enjoyed that you might enjoy trying anew?",1.0,0.09,0.92,0.0
"When you think back to yourself as a child, can you think of a creative domain you did when you were a child that you would like to continue or go back to now?",1.0,0.32,0.8,0.0
"When you think back to yourself as a child, if you think of a creative domain you did then that you would like to continue or to go back?",0.0,0.12,0.8,0.0
"In thinking about your feelings about your childhood, is there a creative domain you'd like to pursue?",1.0,0.16,0.8,0.0
Is there a creative domain you would like to pursue when analyzing your feelings of childhood?,0.0,0.06,0.8,0.0
"While you consider the feelings of your childhood, could you also think about a creative field that interests you?",1.0,0.12,0.76,0.0
"When you picture yourself as the younger you, is there any creative domain that you did that sparked you there that got you excited?",1.0,0.06,0.79,0.0
Are there any creative areas that you can think about when you think back to your childhood feelings?,1.0,0.19,0.66,0.0
Are there any creative fields you can think of when you consider the feelings of your childhood?,0.0,0.11,0.66,0.0
Is there a genre of creativity that you can think of in your childhood that you wanted to pursue?,0.0,0.24,0.62,0.0
Can you elaborate on a creative domain while imagining your childhood feelings?,0.0,0.01,0.66,0.0
,,,,0.0
What do you feel like doing now? (user click on the three options provided),,,,0.0
Tell me about ways that this inspires you! What does this make you feel like doing? ,1.0,0.16,0.84,0.0
How are you up to doing anything today?  I am always up to talking to people and helping them the best I can.,0.0,0.27,0.85,1.0
What area do you feel you want to explore now? I love to help people to become creative whenever possible!,1.0,0.15,0.94,0.0
"Which area do you feel yourself leaning towards now? By the way, I always like to advise people!",1.0,0.12,0.65,0.0
"Is there a particular area you feel like doing now? I know when I'm trying to come up with something I like to just write down anything that comes to mind, and find my ideas from there.",0.0,0.26,0.77,0.0
What are you in the mood to do at the moment that would make you happy?,0.0,0.46,0.74,0.0
"Tell me, what would you like to do now? Remember, I am here to help you!",0.0,0.58,0.8,0.0
Which area do you feel like doing now? Put on your magnifying glass and start inspecting.,0.0,0.11,0.61,0.0
"Is there an area you'd like to focus on right now? For instance, I always like to find talking to people and offering them some help.",1.0,0.28,0.87,0.0
What do you want to do next? I like to mention one or two words to jog peoples' memories when I am talking to them.,0.0,0.25,0.65,0.0
"Which area you're up to doing now? For me, I love to help people like you whenever possible!",1.0,0.11,0.93,0.0
"Choose an area you feel like pursuing. I can give you pointers to get started, but it's all up to you.",0.0,0.32,0.5,0.0
"Which area do you feel like doing now? As for me, I always love to talk to people and offer them a 'word' or two to help them in the best way possible.",1.0,0.22,0.96,0.0
How are you up to doing anything today? I am always up to talk to people and help them the best I can.,0.0,0.35,0.88,1.0
What area do you feel you want to explore right now? I love to help people to be creative whenever possible!,1.0,0.21,0.94,0.0
What area do you now feel you want to explore?,0.0,0.18,0.43,0.0
"By the way, I always like to give advice. To what area do you feel to be leaning now?",1.0,0.16,0.61,0.0
Which direction do you feel yourself leaning towards now?,0.0,0.16,0.38,0.0
Is there a specific area where you feel like exploring?,0.0,0.18,0.61,0.0
Is there a particular area you feel like tackling now?,0.0,0.11,0.61,0.0
Which area are you in the mood to do at the moment that would make you happy?,1.0,0.22,0.74,0.0
"Enlighten me, what would you like to do right now? Remember that I am here to help you!",1.0,0.35,0.9,0.0
Put your magnifying glass on and begin inspecting. Which area do you feel like doing?,0.0,0.09,0.61,0.0
Is there any area you would like to concentrate right now on?,0.0,0.23,0.61,0.0
"Is there an area you would like to focus on right now? For example, I always like talking to people and giving them some help.",1.0,0.35,0.91,0.0
I like to mention one or two words to jog the memory of people if I am talking to them. What do you feel like doing next?,1.0,0.22,0.77,0.0
"Which area you are going to be doing now? For me, I love to help people like you whenever possible!",1.0,0.19,0.93,0.0
"Decide on an area you feel like pursuing. I can give you tips on where to begin, but it's all up to you.",0.0,0.38,0.5,0.0
"In which area do you feel you aspire to now? By the way, I always like to advise people!",1.0,0.13,0.65,0.0
I like to mention one or two words to jog the memory of people if I am talking to them. Can you decide what you feel like doing next?,1.0,0.18,0.77,0.0
,,,,0.0
Let me introduce you to some useful {SAT protocols}. Try to practise these exercises as often as possible when you are free to enhance your various expressions which also helps increase your creative potential. (User click on my suggestions),,,,0.0
Allow me to introduce you to some useful {}. Try your best to practise these exercises frequently to enhance your various expressions. This will help you increase your creative potential. ,1.0,0.1,0.97,0.0
I've got some tips on the {} which might help. It's a good idea to try to use them as often as you can.,0.0,0.25,0.81,0.0
Let me introduce you to some useful {}. Mastering these practices can enhance your abilities and various emotions.,0.0,0.03,0.76,0.0
Here's some {}. These exercises can enhance your expressions and increase your creative potential. I recommended doing them as often as possible. ,1.0,0.06,0.83,0.0
"I'm going to work with you on {}. If you practise these exercises as often as you can, it will help you to reach your creative potential.",1.0,0.22,0.82,0.0
Here are some useful {}. Practise these exercises when you're free. They'll increase your creative potential through enhancements to your various expressions.,0.0,0.06,0.94,0.0
"I'm going to show you some useful {}. If you can, try to practise these exercises as often as possible in your free time - you may increase your various expressions and creative potential.",1.0,0.12,0.94,0.0
"Check out these {}. Do some drills in these activities as soon you're free, it'll help build your expressions - it will help boost your various emotions and build creativity.",1.0,0.03,0.96,0.0
"Can I please introduce you to some useful {}? It's best to try to practise these exercises as often as possible, it helps to enhance your various expressions which also helps increase your creative potential.",1.0,0.1,0.98,0.0
"Now I want to show you some useful {}. If you practise these exercises as often as possible in your free time, you'll enhance your expressions which will help to further unlock your creative potential.",1.0,0.16,0.95,0.0
I will introduce some {} to you. You must put in the effort to perform them in your free time to boost your various emotions and perhaps achieve creativity.,0.0,0.05,0.9,0.0
Let me introduce you to some useful {} and try to practise these exercises frequently to strengthen your various expressions. This will help you enhance your creative potential.,1.0,0.07,0.93,0.0
Test your best to practise these {} frequently to enhance your various expressions. This will help you expand your creative potential.,0.0,0.05,0.95,0.0
I've got some tips in these {} which might help to enhance your emotions. I'd say it's a good idea to try to use them as often as you can.,1.0,0.2,0.81,0.0
Let me introduce you to some useful {} to master. Try to practise them more to enhance your abilities and various emotions.,1.0,0.04,0.76,0.0
Let me introduce you to some useful {}. Master these exercises to rework your abilities and various emotions.,0.0,0.03,0.76,0.0
"I will work with you on some {}, if you practise these exercises as often as you can it will help you to boost your various emotions and reach your creative potential.",1.0,0.11,0.89,0.0
"When you practise these exercises as often as you can, it will certainly help you to enhance your emotions and reach your creative potential. So, here are some {}.",1.0,0.18,0.88,0.0
Here are some helpful {} that you should often practise when you're free. These exercises will increase your creative potential by boosting your various expressions.,0.0,0.05,0.96,1.0
"Here are some useful {}, practise these exercises often when you are free, they increase your creative potential through enhancements of your various expressions.",0.0,0.04,0.94,0.0
"I will show you some useful {}, try to practise these exercises as often as possible in your free time, you may increase your various expressions and creative potential if you can.",0.0,0.1,0.94,0.0
Check out these {} and perform some drills in these activities as soon as you're free. It'll help build your expressions and your creativity.,0.0,0.07,0.9,0.0
I am here to introduce you to some useful {}. It's best to try to practise these exercises as often as possible as it helps to enhance your various expressions which also helps to boost your creative potential.,1.0,0.12,0.98,0.0
"Can I introduce you to some useful {}? I would prefer to practise these exercises as often as possible, it helps to improve your various expressions, which also helps increase your creative potential.",1.0,0.1,0.97,0.0
"Now I want to show you some useful {} to help enhance your expressions. If you practise these exercises in your free time as often as you can, you may further unlock your creative potential.",1.0,0.16,0.95,0.0
"Now I want to show you some useful {}. if you practise these exercises in your free time as often as possible, you'll improve your expressions, which in turn will help you to further unlock your creative potential.",1.0,0.2,0.97,0.0
"Now, I will introduce some {} to you. You shall put in the effort to perform them in your free time to energize your various emotions and possibly achieve creativity.",0.0,0.07,0.91,0.0
I will introduce some {} to you. You must put in a good effort to perform them in your free time to enhance your various emotions and maybe achieve creativity.,0.0,0.06,0.9,0.0
Let me introduce you to some useful {}. Try to practise these exercises as often as possible when you are free to enhance your various expressions which also helps increase your creative potential.,1.0,0.08,0.96,0.0
"Let me introduce you to some useful {}, try to practise these exercises as often as possible when you have free time to enhance your various expressions which also helps you to increase your creative potential.",1.0,0.11,0.96,0.0
,,,,0.0
"Please try to go through this {protocol} now and discover an unlimited spectrum of emotions of yours. When finished, please press 'continue'. (User click continue)",,,,0.0
"Please try your best to go through this {} now and find an unlimited spectrum of emotions of yours. When you are done, please press 'continue'. ",1.0,0.06,0.9,0.0
Give this {} a go and see how you feel. Press continue when you are ready.,0.0,0.07,0.61,0.0
"Please try to go through this {} to discover the potential of your emotions. When finished, press continue.",0.0,0.05,0.58,0.0
"Have a try at this {} now and you could discover a range of emotions. Once you've completed the activity, please press continue. ",1.0,0.06,0.58,0.0
"Let's go through this {} now. It'll help you to better understand your full range of emotions. When you're done, just click 'continue' to move on.",1.0,0.23,0.81,0.0
"Now, let's try this {} to help explore an unlimited spectrum of emotions. When finished, press 'continue'.",1.0,0.04,0.64,0.0
"Please go through this {} now - you could discover a spectrum of emotions you never knew you could access. When finished, please press 'continue'.",1.0,0.04,0.73,0.0
"Hey, could you try this {} out? It may help open out your emotions. When you're done, hit 'continue'. ",1.0,0.07,0.64,0.0
"Can we please try to go through this {} now to discover an unlimited spectrum of emotions of yours? When finished, please press 'continue'.",1.0,0.03,0.73,0.0
"This {} is designed to help you discover your unlimited emotional spectrum, give it a go. Once finished, be sure to press the 'continue' button.",1.0,0.11,0.81,0.0
"If you now go through this {}, it will be of growth to you to learn about your emotions. When you have completed it you may press 'continue'.",1.0,0.08,0.62,0.0
"Please try your best to go through this {} and find an unlimited range of emotions to yours now. When finished, please press 'continue'.",1.0,0.04,0.9,0.0
Please try your best to go through this {} now and find an unlimited spectrum of emotions to yours.,0.0,0.03,0.86,0.0
"Give this {} a go and see how you feel, then press continue when you are ready.",0.0,0.07,0.61,0.0
Give this {} a try and see how you feel and press continue if you are ready.,0.0,0.05,0.61,0.0
"Please try to go through this {} to discover your potential based on your emotions. When finished, press continue.",0.0,0.05,0.58,0.0
"Now try this {} and you could discover a variety of emotions. Once you've completed the activity, click Continue",1.0,0.07,0.38,0.0
"Now try out this {} and you could exploit a range of emotions. Once the activity is completed, please press Continue.",0.0,0.04,0.53,0.0
"Have a try with this {} now and you could discover a variety of emotions. Once you've completed the activity, please press continue.",1.0,0.07,0.58,0.0
"Let's now go through this {} to help you understand your full range of emotions better. When you're done, just click continue to move on.",1.0,0.15,0.81,0.0
"Let's go through this {} now, it will help you understand your full range of emotions, and if you are done, please click continue. ",1.0,0.12,0.77,0.0
"Let's try this {} now to help explore an unlimited spectrum of emotions, then press continue when finished.",0.0,0.03,0.64,0.0
"Please go through this {} now - you could discover various emotions you never knew could be accessed. When finished, please press continue.",1.0,0.02,0.73,0.0
"Please go through this {} now, you could uncover a spectrum of emotions you never knew you could access. Once finished, please press continue.",1.0,0.05,0.73,0.0
"Hey, could you try out this {}? It could help open your emotions. When you're done, hit continue.",0.0,0.08,0.64,0.0
"Hey, could you try this {} out? It may help open up your emotions. When you are done, hit continue.",0.0,0.09,0.64,0.0
"Can we please try to proceed through this {} to discover your unlimited spectrum of emotions now? When finished, please press 'continue'.",1.0,0.02,0.73,0.0
"This {} is designed to help you discover your infinite euphoric spectrum of yours. Once completed, be sure to press the continue button.",1.0,0.07,0.92,0.0
"Now please proceed through this {}, it will be a growth aid to you about yourself. If you have done it, you may press continue.",0.0,0.05,0.76,0.0
"Please try to go through this {} now and discover an unlimited spectrum of emotions of yours. When finished, please press 'continue'.",1.0,0.03,0.73,0.0
,,,,0.0
Would you like another {SAT protocol} to help enhance your emotions? (User answer yes or no)),,,,0.0
Would you like another {} to assist with enhancing your emotions?,1.0,0.02,0.61,0.0
Do you want any more tips from the {}?,0.0,0.06,0.43,0.0
Would you like another {} to reach a new level of your emotions?,0.0,0.04,0.62,0.0
Would you like to try another {}?,0.0,0.07,0.61,0.0
Would you like another {} to help discover and work through your emotions?,1.0,0.03,0.78,0.0
"Now, would you like another {} to help enhance your emotions?",1.0,0.03,0.78,0.0
If you feel able for it today -could you try another {} to help unlock more of your emotions?,1.0,0.02,0.64,0.0
How did that feel? Do you wanna try another {} to open out your emotions?,1.0,0.04,0.38,0.0
"Would you like another {}, it will help enhance your emotions?",0.0,0.02,0.78,0.0
How are you feeling about things so far? Would you like another {} to help you to enhance your emotional state?,1.0,0.13,0.87,0.0
Do you need more {} to enhance emotions?,0.0,0.01,0.38,0.0
Would you like another {} to help with enhancing your emotions?,1.0,0.02,0.78,0.0
Would you like another {} to assist you in enhancing your feelings?,1.0,0.04,0.61,0.0
Would you like another {} to reach a new level of enhancing your emotions?,0.0,0.03,0.62,0.0
Would you like another {} to reach a new level of enhancing your emotions to achieve?,0.0,0.03,0.62,0.0
Would you like another {} to help discover your emotions and work them out?,0.0,0.04,0.78,0.0
Do you want another {} to help enhance your emotions?,1.0,0.02,0.67,0.0
Would you like to get another {} to help your emotions to increase?,0.0,0.04,0.86,0.0
Would you now like another {} to boost your emotions?,1.0,0.01,0.78,0.0
If you feel able for it today - do you want to try another {} to help unlock more of your emotions?,1.0,0.05,0.67,0.0
If you feel able today - do you want to try another {} to set free of your emotions?,0.0,0.04,0.73,0.0
Do you wanna try another {} to open up more of your emotions?,0.0,0.04,0.38,0.0
Would you like another {} that will help you boost your emotions?,1.0,0.03,0.88,0.0
How are you feeling about things so far? Would you like another {} to help you to boost your emotions?,1.0,0.12,0.9,1.0
Would you like another {} to help enhance your emotional state?,1.0,0.03,0.82,0.0
Do you want more {} to enhance emotions?,0.0,0.01,0.43,0.0
Would you like another {} to help enhance your emotions?,1.0,0.02,0.78,0.0
Do you want another {} that helps discover and enhance your sets of emotions?,0.0,0.02,0.66,0.0
Would you like another {} to raise your emotions to a new level?,0.0,0.05,0.61,0.0
How are you feeling about things so far? Would you like another {} to help you to reach another level of your emotions?,1.0,0.13,0.84,0.0
,,,,0.0
"You can try to associate different words. Some of these websites offer creative games, please try one and see how creative you are. (User click continue) ",,,,0.0
"Here, try a few of these creative games to associate different words! They really help me to feel inspired! Don't worry if you can't do them all, that's totally normal!",1.0,0.18,0.95,0.0
"Try and jog your brain into creative mode, you can try to associate different words. Play a game that lets you exercise your creativity to remind yourself of just how creative you can be. And don't worry about getting them all right, perfection isn't the goal here, inspiration and creativty are. ",1.0,0.13,0.99,0.0
"You should explore a game where you try to associate different words. Some websites below have such creative games, try one and test your creativity.",0.0,0.04,0.8,0.0
"Why not try word association? Some of these websites have some really creative games regarding this. Not to worry if you don't get them all correct, we can't all be brain surgeons!",1.0,0.1,0.83,0.0
"You could try some word association. Some of these websites have creative games, you should try one to see how creative you are! Don't worry about getting anything right or wrong, just see what flows!",0.0,0.12,0.82,0.0
"Have you tried a word association game? Try some of them below, they can help you think of things you may not otherwise have thought about before.",0.0,0.22,0.64,0.0
"If you would like, you can try a creative game where you try to associate different words. Some websites below have creative games - feel free to give them a whirl and see just how creative you can be! Remember, no pressure, just relax and have fun.",1.0,0.18,0.99,0.0
"Creative games are great at bringing out what you might enjoy the most. Some of these websites offer creative games related to word association, please try one and see how creative you are. You might just have fun too! ",1.0,0.12,0.99,0.0
"Word association can be fun. These websites offer such creative games that might help you to evaluate your creativity. If you can't get all of them correct, don't panic - even Albert Einstein with all his brains couldn't do that!",1.0,0.11,0.96,0.0
Do you like word games? Here are several websites for you to try to test your creativity. Give one a go and see how well you score!,0.0,0.21,0.86,0.0
"You can try to associate different words. Some of these websites offer creative games, please try one and see how creative you are. Don't worry if you can't get them all :)",1.0,0.16,0.95,0.0
Like to play word games to test out creativity? Lets try some from one of the websites below. Just look up on them and blast your journey off.,0.0,0.06,0.86,0.0
"You can immerse yourself in a game where you are trying to associate different words. Some of these websites offer creative games, please try one and see how creative you are. Do not worry if you cannot get them all, even the great Albert Einstein could not correctly guess them all.",1.0,0.13,0.96,0.0
Here you can try a few of these creative games to associate different words! They really help me feel inspired!,1.0,0.07,0.93,0.0
"Try a few of these creative games to associate different words to different words here! They really help me to feel motivated in being creative! Don't worry if you can't do them all, that's totally normal!",1.0,0.15,0.97,0.0
"Try and jog your brain into a creative mode you can try to associate different words, play a game that lets you exercise your creativity. Be aware that perfection is not the goal here, inspiration and creativity are.",1.0,0.09,0.98,0.0
"Try and push your brain into creative mode, try to associate different words, play a game from below that lets you exercise your creativity and remind yourself of how creative you can be. But don't worry about achieving it all right, perfection is not the goal.",1.0,0.16,0.96,0.0
"You should explore a game, where you try to associate different words. Some websites below have such creative games, give it a try and test your creativity.",0.0,0.06,0.8,0.0
You should explore a game where you try to associate different words. Some websites below have such creative games. You will never know how creative you can be until you try it out.,1.0,0.12,0.46,0.0
"Why not try word association, some of these websites have some really creative games on this. Don't worry if you don't get them all correct, we can not all be brain surgeon!",1.0,0.09,0.83,0.0
"Some of these websites have creative games like word association task, you should try one to see how creative you are! Don't worry about getting right or wrong, just see what flows!",0.0,0.08,0.89,0.0
"Some of these sites have interactive games about word association, try one to see how creative are you, don't worry about getting anything wrong, just see what flows!",0.0,0.08,0.61,0.0
"Try some of these words associations games from the websites below, they can help you think of things you may not have thought of before, that is if you haven't already try one.",0.0,0.15,0.64,0.0
"Have you tried a word association game? Try some of them from the websites below, they can help you think of things you may not think about previously.",0.0,0.16,0.64,1.0
"If you wish, you can try a creative game, where you try to associate different words. Some websites below have creative games, feel free to give them a try and see just how creative you can be! Remember - no pressure, just relax and have fun.",1.0,0.17,0.99,0.0
"Creative games are great at bringing out what you might enjoy the most. Some of these websites below provide creative games related to word association, try one and see how creative you are. You might just discover something fun!",1.0,0.11,0.99,0.0
"Word association can be a jolly activity, these websites have such fun games that might help you, to evaluate your creativity. If you can't get all of them, don't panic - even Albert Einstein couldn't do that with all his brains!",1.0,0.11,0.97,0.0
Do you like word games? Here are several sites for you to try to test your creative potential. Give one a go and see how you score!,0.0,0.19,0.82,0.0
Do you like word games? Here are several websites for you to try to test your creativity. Be ready to best yourself.,0.0,0.15,0.94,0.0
Maybe you want to test some of the words games below by playing from one of the websites below. Just look them up and test out your creativity.,0.0,0.13,0.74,0.0
"Want to play word games to test out your creativity? Lets play some word games from one of the websites below, just search them. Buckle up for this amazing game.",1.0,0.12,0.95,0.0
,,,,0.0
Do you feel creative after playing the game from one of the suggested websites? (User answer yes or no),,,,0.0
Do you feel inspired creatively after playing the game from one of the suggested websites?,1.0,0.07,0.86,0.0
Do you feel that your mind oozing out creative juice after that game?,0.0,0.04,0.66,0.0
Can you feel your thoughts becoming creative after trying one of the suggested games?,1.0,0.06,0.66,0.0
What did you think about the game you played? Did it lead you to feel more creative?,1.0,0.42,0.83,1.0
"Now you've tried some of the suggested websites, how do you feel? Has it sparked your creativity?",1.0,0.2,0.67,1.0
Do you sense any creativity after playing one of the suggested online games?,0.0,0.07,0.71,0.0
"Now that you've spent some time playing the game from one of our suggested websites, do you feel your creativity levels rising?",1.0,0.16,0.71,0.0
Did any of the suggested games help you feel any more creative?,0.0,0.1,0.83,0.0
Did the online games make you feel creative? ,0.0,0.06,0.66,0.0
How did playing one of the games from the suggested websites make you feel? Do you feel any sort of creative spark?,1.0,0.13,0.8,0.0
Are you emotionally vested in creativity after exploring the games on the websites we gave?,0.0,0.01,0.69,0.0
Feel inspired creatively after playing a game from one of the suggested sites?,0.0,0.03,0.86,0.0
Do you feel creatively inspired after playing the game from one of the recommended websites?,1.0,0.08,0.89,0.0
Do you feel your mind oozing creative juice after that game from one of the suggested websites?,0.0,0.04,0.66,0.0
Do you feel your mind after that game oozing your creative juice?,0.0,0.03,0.66,1.0
Can you feel your thoughts becoming creative after attempting one of the suggested games?,1.0,0.05,0.66,1.0
Can you feel your thoughts becoming creative after trying one of the games suggested?,1.0,0.05,0.66,0.0
What did you think about the game you played and did it help you feel more creative about it?,1.0,0.4,0.89,0.0
"When you think about the game you played, did it lead you to feel more creative?",1.0,0.18,0.81,0.0
How do you feel now you've tried some of the suggested websites? Have they sparked your creativity?,1.0,0.14,0.67,0.0
"Now that you have tried some of the suggested websites, do you feel like it has sparked your creativity?",1.0,0.23,0.78,0.0
Do you feel any creativity after playing one of the suggested online games?,0.0,0.1,0.71,1.0
Do you sense any creativity after playing one of the suggested online games?,0.0,0.07,0.71,0.0
"Now that you've spent some time playing the game from one of our recommended websites, do you feel your creativity levels rising?",1.0,0.17,0.78,1.0
Do you feel your creativity levels rising now you've spent some time playing the game from one of our suggested websites?,1.0,0.08,0.71,0.0
Has any of the suggested games helped you feel more creative?,0.0,0.08,0.69,0.0
How did trying one of the games make you think? Do you feel any creative spark?,0.0,0.11,0.78,1.0
"Immediately after exploring the games on the websites we gave, can you feel the spark in creativity?",0.0,0.04,0.72,1.0
Are you driven by creativity after exploring the games offered on the websites we gave?,0.0,0.02,0.62,0.0
Do you feel creative after playing the game from one of the suggested websites?,0.0,0.09,0.74,0.0
,,,,1.0
"Congratulations, I feel very happy that you are feeling creative. Please do explore more in your creative domain and use that creative mind of yours to do meaningful work. (User click continue)",,,,0.0
"Congratulations, I am glad you are feeling creative! I urge you to continue exploring your creative domain and use your creative mind to do meaningful work. ",1.0,0.19,0.98,0.0
"Amazing, I am happy that you grasp your creativity! Keep going with this!",0.0,0.07,0.94,0.0
"Fantastic, I am glad that you feel creative. Your focus on doing something meaningful will be great.",0.0,0.13,0.97,0.0
"That's great, I'm delighted that you're feeling creative! Keep working on the creative activity you enjoy and hopefully, you'll find you're doing more meaningful work.",1.0,0.2,0.99,0.0
That's great! I'm so pleased you're feeling creative. You should explore your creative domain more.,1.0,0.14,0.97,1.0
Congrats! I'm so glad you feel creative! Please explore your creative domain and apply your creativity to do meaningful work.,1.0,0.11,0.99,0.0
"Congratulations, I'm so happy that you are feeling creative. You should explore more of your creative domain and do meaningful work through your newfound creativity.",1.0,0.17,0.99,0.0
Congrats! I'm feeling inspired seeing all your creativity come to life. Please use what you are discovering about your creativity for good and keep exploring it!,1.0,0.11,0.98,1.0
"Congratulations, I am so pleased that you are feeling creative. Please explore more in your creative domain and use your creative mind to do meaningful work.",1.0,0.14,0.99,0.0
I'm so glad to hear that you're feeling creative! Congratulations! Keep exploring that creative domain of yours and use your mind to do work that you find meaningful.,1.0,0.13,0.98,0.0
Well done! It is an honour that you feel creative. Please continue to attempt these.,0.0,0.06,0.94,1.0
"Congratulations, I am glad you feel creative and that I wish you to continue exploring your creative domain and use your creative mind to do meaningful work.",1.0,0.14,0.99,0.0
"Congratulations, I am glad you are feeling creative! I urge you to continue exploring your creative domain and to make good use of that mind, amen!",1.0,0.15,0.98,0.0
"Amazing, I am happy that you grasped your creativity and continue with this, keep going!",0.0,0.07,0.94,0.0
"Fantastic, I am glad that you feel creative and that your focus on doing something meaningful with that creative mind will be great.",0.0,0.12,0.98,0.0
